compania,videoperitacion,fecha_entrada,perito,provincia,honorario_gabinete,honorario_perito,tasacion_origen,tiempo_resolucion_dias
Allianz,No,2024-08-17,Perito A,Zaragoza,26,47,2191,5.3
Mapfre,Si,2024-02-11,Perito D,Málaga,25,31,1267,2.0
AXA,No,2024-09-03,Perito A,Barcelona,43,45,7464,7.1
Mutua,No,2024-04-18,Perito C,Valencia,38,24,1777,2.6
Mutua,No,2024-12-04,Perito C,Sevilla,38,20,1211,4.4
AXA,Si,2025-02-14,Perito A,Madrid,55,39,2474,4.1
Mapfre,Si,2024-02-23,Perito C,Sevilla,28,44,5069,3.8
Mutua,No,2025-06-20,Perito D,Madrid,55,48,7022,7.5
Generali,Si,2025-03-09,Perito B,Valencia,57,32,7803,4.9
Mutua,No,2024-11-26,Perito A,Valencia,59,38,2014,4.3
Mapfre,Si,2025-04-28,Perito C,Málaga,48,41,6944,5.3
Allianz,No,2024-10-07,Perito B,Valencia,43,41,2626,4.5
Allianz,Si,2025-06-16,Perito D,Zaragoza,24,35,5497,2.9
Allianz,Si,2025-06-04,Perito D,Zaragoza,45,33,5746,2.8
Mapfre,No,2024-05-12,Perito A,Sevilla,33,37,7052,6.3
Allianz,No,2025-01-10,Perito B,Sevilla,58,29,4602,4.0
Allianz,No,2024-09-21,Perito D,Valencia,48,16,5074,4.2
Mapfre,No,2024-01-12,Perito A,Sevilla,25,49,2751,3.2
Generali,Si,2025-01-07,Perito C,Zaragoza,26,34,6611,5.9
Mutua,Si,2024-01-24,Perito B,Madrid,56,42,3857,3.7
Mapfre,No,2024-07-22,Perito D,Barcelona,37,29,207,4.2
Mapfre,No,2024-10-05,Perito C,Zaragoza,42,30,2755,4.5
AXA,Si,2024-12-17,Perito B,Málaga,57,47,675,4.0
Allianz,Si,2024-03-12,Perito B,Barcelona,20,26,5616,5.2
Linea Directa,Si,2024-04-26,Perito B,Sevilla,23,34,2411,2.4
Generali,Si,2025-01-18,Perito D,Málaga,54,43,684,1.7
Linea Directa,No,2024-05-21,Perito B,Barcelona,42,17,7964,5.8
AXA,No,2024-05-07,Perito C,Barcelona,46,19,7439,7.8
Generali,Si,2025-05-01,Perito D,Sevilla,45,16,6910,3.5
Allianz,Si,2025-01-17,Perito B,Málaga,27,37,5200,5.5
Linea Directa,No,2024-06-15,Perito C,Zaragoza,35,40,4854,4.0
Allianz,No,2025-02-04,Perito D,Zaragoza,22,40,6263,7.2
Allianz,Si,2024-11-23,Perito B,Málaga,51,21,2485,2.1
Mutua,No,2025-01-05,Perito A,Barcelona,24,24,5423,5.6
Generali,No,2024-06-15,Perito A,Málaga,39,19,5529,4.7
Generali,Si,2025-03-30,Perito B,Zaragoza,33,26,6897,3.6
AXA,No,2024-12-08,Perito A,Málaga,51,46,7171,6.3
Mapfre,Si,2024-05-27,Perito D,Madrid,45,45,4763,3.3
Allianz,Si,2025-04-14,Perito B,Sevilla,25,36,3725,2.1
Allianz,Si,2025-05-13,Perito C,Zaragoza,55,31,3539,2.3
Linea Directa,No,2024-04-28,Perito A,Sevilla,59,34,6729,7.8
AXA,No,2025-05-12,Perito B,Madrid,24,34,3022,3.9
Generali,No,2024-05-14,Perito D,Barcelona,32,22,5143,5.4
Mutua,Si,2024-04-26,Perito B,Valencia,51,48,6730,3.3
Generali,No,2024-05-04,Perito C,Zaragoza,35,37,3124,4.5
Mutua,No,2024-10-07,Perito C,Barcelona,20,42,458,4.3
Mutua,Si,2024-01-18,Perito B,Madrid,32,27,482,4.8
Generali,No,2024-01-08,Perito B,Málaga,30,43,5945,4.5
Linea Directa,No,2024-12-04,Perito B,Madrid,27,22,2098,5.1
Allianz,Si,2024-01-05,Perito B,Sevilla,44,25,4335,4.5
Mutua,No,2024-09-19,Perito D,Málaga,59,32,6829,4.4
Linea Directa,No,2025-06-23,Perito B,Barcelona,51,39,3176,5.3
AXA,No,2024-11-15,Perito D,Málaga,43,36,2467,1.8
AXA,No,2024-06-02,Perito B,Sevilla,47,49,3400,4.6
Mutua,No,2024-07-04,Perito D,Madrid,33,43,5310,5.5
Allianz,No,2024-02-24,Perito C,Barcelona,22,35,7367,5.7
Mutua,Si,2024-12-04,Perito A,Valencia,55,21,7887,3.9
AXA,Si,2025-03-28,Perito B,Valencia,46,26,812,2.0
AXA,Si,2024-10-01,Perito B,Madrid,39,38,7271,4.2
Generali,No,2024-04-28,Perito C,Barcelona,34,46,6211,6.2
Allianz,Si,2024-03-07,Perito A,Barcelona,46,41,887,4.4
Generali,Si,2024-04-16,Perito C,Málaga,47,46,3890,1.5
Linea Directa,Si,2024-10-08,Perito C,Zaragoza,44,46,812,1.4
Linea Directa,No,2025-03-04,Perito B,Madrid,52,46,2507,6.4
Linea Directa,Si,2024-07-30,Perito B,Málaga,33,40,7333,5.1
Mapfre,No,2024-07-06,Perito C,Madrid,27,25,3213,3.7
Linea Directa,Si,2025-05-23,Perito B,Sevilla,33,32,6709,3.7
Mutua,Si,2024-11-29,Perito B,Madrid,20,19,1981,1.9
Generali,Si,2025-01-05,Perito B,Málaga,35,30,6106,5.2
Linea Directa,Si,2024-01-26,Perito A,Barcelona,37,25,2791,4.4
Allianz,No,2024-12-22,Perito A,Madrid,26,49,2896,5.6
Linea Directa,Si,2024-05-08,Perito B,Barcelona,34,25,5843,6.1
Mutua,Si,2025-01-12,Perito C,Sevilla,43,37,6226,3.8
Mutua,Si,2025-06-19,Perito A,Valencia,32,48,7157,5.2
Mutua,No,2024-04-20,Perito C,Valencia,28,31,4158,5.5
Mutua,Si,2024-09-11,Perito D,Málaga,34,24,7383,3.1
Mutua,Si,2024-09-29,Perito D,Madrid,54,32,5448,3.1
Allianz,No,2025-03-13,Perito B,Sevilla,43,22,774,5.1
Mapfre,No,2025-01-07,Perito C,Sevilla,52,40,7476,4.8
AXA,Si,2024-03-16,Perito C,Barcelona,35,17,2110,1.3
Mapfre,Si,2025-03-06,Perito D,Zaragoza,27,38,5308,2.5
AXA,Si,2024-04-02,Perito A,Málaga,48,17,3804,3.1
Generali,Si,2024-11-18,Perito C,Sevilla,42,16,869,4.3
Mutua,No,2024-06-09,Perito C,Madrid,50,49,4564,6.1
Generali,Si,2024-07-11,Perito A,Sevilla,59,31,7529,4.8
Generali,Si,2024-03-09,Perito B,Valencia,33,23,1483,1.8
AXA,Si,2024-05-30,Perito D,Málaga,49,36,1123,2.6
Allianz,No,2024-09-23,Perito C,Barcelona,58,45,1325,5.5
Mutua,No,2024-03-17,Perito B,Madrid,46,48,1729,5.1
Linea Directa,Si,2025-01-23,Perito B,Valencia,35,38,6054,4.9
Generali,No,2024-03-20,Perito B,Sevilla,25,23,1794,5.1
Mapfre,Si,2024-11-24,Perito A,Málaga,52,16,446,2.7
Mutua,Si,2025-03-31,Perito B,Málaga,37,35,3911,2.8
Allianz,No,2025-04-23,Perito C,Madrid,35,48,1760,4.2
Mutua,No,2025-02-18,Perito B,Barcelona,31,41,6474,7.4
Linea Directa,No,2024-05-28,Perito B,Valencia,39,21,2600,4.6
Linea Directa,Si,2025-01-28,Perito B,Zaragoza,59,36,2443,3.0
Generali,No,2024-10-01,Perito D,Barcelona,48,18,4064,4.3
Mapfre,Si,2024-02-04,Perito C,Madrid,49,28,2139,2.9
Generali,No,2024-04-13,Perito D,Madrid,45,48,5225,5.2
Allianz,Si,2024-11-09,Perito D,Valencia,41,37,7749,3.1
AXA,Si,2024-08-15,Perito B,Málaga,52,39,3269,2.9
Linea Directa,Si,2024-08-22,Perito B,Málaga,58,15,6988,5.5
Mapfre,No,2024-08-24,Perito B,Valencia,48,29,426,3.0
Linea Directa,No,2024-09-14,Perito A,Barcelona,41,46,7044,6.6
Allianz,No,2024-09-18,Perito C,Valencia,32,28,3747,4.4
Allianz,Si,2024-10-19,Perito A,Zaragoza,28,35,7844,6.1
Linea Directa,No,2024-11-09,Perito C,Málaga,43,21,464,5.0
Generali,No,2025-05-12,Perito B,Barcelona,34,35,1595,3.4
Linea Directa,No,2024-04-05,Perito C,Sevilla,55,26,3757,5.5
Generali,No,2024-05-12,Perito C,Barcelona,32,29,5753,6.7
Linea Directa,Si,2025-03-27,Perito D,Málaga,46,29,845,1.0
Generali,No,2025-06-17,Perito C,Madrid,56,31,6554,5.2
AXA,Si,2024-05-25,Perito C,Barcelona,26,48,7939,6.6
Mutua,Si,2024-07-11,Perito D,Barcelona,27,49,7744,5.6
Mutua,Si,2024-08-10,Perito A,Madrid,56,28,5714,3.7
Generali,Si,2024-09-08,Perito C,Málaga,33,19,5769,3.1
Generali,Si,2024-10-15,Perito A,Sevilla,31,44,3190,4.1
AXA,No,2024-03-25,Perito A,Sevilla,55,18,5683,6.3
Mutua,No,2025-04-10,Perito B,Valencia,59,29,2099,4.1
AXA,Si,2025-06-07,Perito C,Sevilla,36,49,2704,1.0
Allianz,No,2024-02-18,Perito D,Sevilla,59,24,2972,2.8
Linea Directa,Si,2024-08-12,Perito D,Barcelona,48,16,5545,3.4
Mutua,Si,2024-04-18,Perito B,Valencia,46,38,5277,4.5
Generali,Si,2024-12-18,Perito D,Sevilla,20,42,1354,1.5
Mapfre,Si,2025-01-08,Perito C,Barcelona,53,36,787,3.8
Allianz,No,2024-12-27,Perito A,Valencia,23,46,4771,5.3
Linea Directa,Si,2024-09-04,Perito A,Barcelona,43,45,2021,3.0
Mapfre,No,2024-01-12,Perito D,Madrid,40,33,1185,4.8
AXA,No,2025-05-02,Perito D,Málaga,52,35,4279,5.1
Linea Directa,No,2024-08-03,Perito D,Málaga,26,17,3548,4.6
AXA,No,2024-01-14,Perito A,Málaga,20,20,6499,5.9
AXA,Si,2024-05-24,Perito C,Sevilla,22,46,4031,3.3
Generali,No,2024-09-23,Perito C,Málaga,34,16,1441,2.9
AXA,Si,2024-05-13,Perito C,Málaga,50,38,389,3.4
Mapfre,No,2025-02-25,Perito C,Valencia,35,41,5736,6.5
Allianz,Si,2024-04-27,Perito C,Valencia,29,23,1180,1.7
Generali,Si,2025-05-27,Perito B,Zaragoza,48,27,1898,1.5
Allianz,No,2025-02-14,Perito D,Valencia,25,28,1915,2.1
AXA,No,2024-01-09,Perito C,Sevilla,48,25,2793,3.0
Mutua,No,2025-01-27,Perito B,Zaragoza,36,28,4336,4.8
Linea Directa,Si,2025-01-24,Perito C,Zaragoza,41,30,6650,2.9
Generali,No,2024-08-26,Perito D,Málaga,43,24,5238,3.7
AXA,No,2025-06-04,Perito C,Sevilla,36,34,4633,4.0
Generali,No,2024-12-02,Perito C,Sevilla,40,30,5633,5.1
Mutua,Si,2024-11-11,Perito C,Sevilla,30,48,1298,2.2
Mapfre,No,2024-07-15,Perito D,Sevilla,26,30,7296,5.4
Mapfre,No,2024-06-25,Perito A,Sevilla,58,28,2526,4.2
Linea Directa,Si,2024-08-12,Perito D,Sevilla,24,42,3447,2.8
Mapfre,No,2025-03-14,Perito A,Zaragoza,40,32,1095,5.8
Mutua,Si,2025-03-27,Perito B,Málaga,37,40,6616,4.3
Allianz,Si,2024-01-09,Perito B,Valencia,54,21,7180,4.7
Mutua,Si,2024-07-06,Perito C,Zaragoza,39,48,6963,6.7
Mutua,Si,2024-11-14,Perito C,Barcelona,34,21,1874,3.5
AXA,Si,2025-05-28,Perito C,Barcelona,24,47,3109,5.5
Mapfre,Si,2024-10-14,Perito D,Barcelona,32,49,1130,4.1
Generali,Si,2024-11-18,Perito C,Madrid,31,35,4584,3.6
Linea Directa,Si,2024-01-10,Perito A,Valencia,40,42,923,3.0
Allianz,Si,2024-05-24,Perito B,Málaga,56,46,3140,3.7
Generali,Si,2024-09-18,Perito B,Sevilla,25,30,6615,5.1
AXA,Si,2025-03-06,Perito B,Barcelona,26,24,6249,4.3
AXA,Si,2024-10-03,Perito A,Valencia,45,37,1289,2.1
Allianz,Si,2024-08-29,Perito C,Málaga,27,29,4778,4.5
Generali,Si,2024-06-23,Perito A,Barcelona,28,20,1135,2.9
Allianz,No,2024-09-22,Perito A,Valencia,46,47,2495,4.0
Allianz,Si,2024-06-07,Perito D,Zaragoza,23,26,355,1.0
Mapfre,No,2024-03-31,Perito D,Málaga,40,45,1270,2.1
Generali,No,2025-05-31,Perito B,Zaragoza,50,24,2158,3.5
Mapfre,No,2024-09-09,Perito A,Valencia,40,48,2701,4.3
Mapfre,No,2024-01-14,Perito B,Sevilla,59,24,6544,5.3
Linea Directa,No,2024-04-12,Perito A,Valencia,44,25,5979,5.4
Mapfre,No,2024-09-26,Perito B,Valencia,58,28,4419,5.4
Mutua,Si,2024-04-14,Perito B,Madrid,34,17,6344,6.4
AXA,No,2024-06-29,Perito C,Sevilla,54,47,5263,4.1
AXA,Si,2024-06-09,Perito B,Zaragoza,56,21,4030,1.7
Mutua,Si,2024-08-04,Perito D,Valencia,47,18,1054,2.3
Allianz,No,2024-06-29,Perito A,Sevilla,33,24,839,4.8
Generali,Si,2025-02-22,Perito B,Valencia,23,29,2438,2.0
Generali,Si,2024-12-11,Perito A,Sevilla,39,30,1802,2.8
Generali,No,2025-03-12,Perito B,Málaga,53,18,6859,6.3
Mapfre,Si,2024-11-30,Perito D,Barcelona,31,18,641,3.8
Generali,No,2024-03-17,Perito C,Madrid,52,41,6240,6.5
Generali,No,2024-11-04,Perito C,Barcelona,43,36,6134,6.1
Generali,No,2024-10-27,Perito A,Valencia,39,36,6125,5.1
AXA,No,2024-11-21,Perito B,Valencia,24,31,6486,5.4
Mutua,No,2025-04-04,Perito D,Málaga,57,48,7558,5.1
Linea Directa,Si,2024-03-27,Perito A,Valencia,49,46,4828,4.8
Allianz,No,2024-02-23,Perito C,Zaragoza,43,20,6570,5.6
Mutua,No,2024-05-04,Perito A,Sevilla,59,47,1536,2.6
Generali,Si,2024-05-07,Perito A,Zaragoza,26,22,3900,3.7
Allianz,No,2024-12-28,Perito B,Barcelona,55,19,1148,5.7
Allianz,No,2024-10-07,Perito D,Valencia,57,19,3573,1.3
Mutua,No,2024-05-01,Perito C,Málaga,35,24,6315,3.8
Mutua,No,2024-02-24,Perito C,Madrid,34,21,659,3.2
Mutua,No,2024-03-23,Perito D,Zaragoza,42,26,7768,5.8
Linea Directa,No,2024-11-05,Perito B,Barcelona,31,44,4846,5.1
Mutua,No,2024-05-13,Perito D,Málaga,48,39,592,2.8
Linea Directa,Si,2025-05-04,Perito D,Málaga,34,42,4138,3.4
Mapfre,No,2024-07-13,Perito B,Barcelona,48,27,1987,5.2
AXA,Si,2025-02-19,Perito B,Málaga,40,36,5140,3.1
Linea Directa,No,2025-05-08,Perito C,Madrid,34,32,7574,6.2
AXA,No,2025-03-29,Perito C,Madrid,33,41,2457,4.6
Generali,No,2024-10-12,Perito B,Valencia,35,22,1338,5.1
Mapfre,Si,2024-02-18,Perito A,Sevilla,34,20,4008,3.6
Allianz,Si,2025-04-28,Perito C,Valencia,23,25,4941,4.3
Mutua,Si,2025-06-17,Perito B,Sevilla,46,43,7618,5.3
Generali,No,2025-03-24,Perito B,Barcelona,42,19,6562,7.3
Allianz,No,2024-02-28,Perito A,Málaga,48,21,2654,5.3
AXA,Si,2024-10-11,Perito D,Valencia,28,36,1666,2.1
Allianz,Si,2024-12-20,Perito B,Málaga,26,18,3874,3.8
Mutua,No,2024-12-30,Perito A,Valencia,23,46,1577,6.5
Mutua,No,2025-05-31,Perito A,Valencia,24,33,7231,5.2
Linea Directa,No,2024-02-24,Perito C,Madrid,24,47,6901,5.8
Linea Directa,Si,2024-05-26,Perito B,Sevilla,30,15,2797,1.8
AXA,Si,2024-02-09,Perito C,Barcelona,47,22,341,3.3
Mutua,No,2024-03-05,Perito D,Málaga,35,46,2859,3.0
Mapfre,No,2025-05-12,Perito D,Valencia,49,44,4796,3.0
Generali,No,2025-01-04,Perito C,Málaga,23,42,1039,3.4
AXA,Si,2025-02-26,Perito C,Madrid,21,46,7045,4.0
AXA,No,2024-05-11,Perito B,Barcelona,22,39,3818,6.5
Allianz,Si,2025-03-06,Perito B,Sevilla,40,48,5978,5.0
AXA,Si,2024-09-24,Perito B,Sevilla,25,47,5861,5.7
Generali,Si,2024-09-20,Perito D,Valencia,37,27,6342,6.3
Mapfre,No,2024-02-23,Perito C,Barcelona,24,39,4117,3.7
Allianz,No,2025-03-09,Perito A,Sevilla,28,24,5826,5.3
Generali,Si,2024-08-03,Perito C,Barcelona,39,45,795,4.6
Linea Directa,Si,2024-11-04,Perito A,Málaga,47,25,2104,4.5
AXA,No,2024-01-10,Perito B,Madrid,45,39,480,5.0
Mutua,Si,2024-08-15,Perito B,Barcelona,37,48,623,2.2
Linea Directa,No,2024-11-02,Perito C,Barcelona,38,34,7199,6.7
Mutua,No,2025-02-18,Perito A,Sevilla,22,21,4565,6.1
Generali,No,2024-09-29,Perito D,Zaragoza,28,47,4449,3.6
Mapfre,No,2025-04-30,Perito B,Valencia,55,49,6957,4.6
Mutua,Si,2024-09-12,Perito B,Valencia,50,43,1950,2.4
Generali,No,2024-04-10,Perito C,Zaragoza,36,26,4957,4.1
Allianz,Si,2024-09-26,Perito C,Zaragoza,42,19,2167,3.0
AXA,Si,2024-05-02,Perito D,Zaragoza,53,26,4288,1.5
Mapfre,Si,2025-05-30,Perito C,Málaga,24,43,4378,5.1
Mapfre,No,2024-09-06,Perito D,Sevilla,34,49,7989,4.6
Allianz,No,2024-12-08,Perito A,Sevilla,22,34,7290,4.9
Mapfre,Si,2024-06-09,Perito D,Madrid,38,15,3146,3.1
Generali,No,2024-06-16,Perito A,Valencia,47,30,1649,4.3
Mapfre,No,2024-10-16,Perito B,Sevilla,22,44,5594,3.3
Mapfre,No,2024-04-18,Perito C,Zaragoza,57,23,2531,3.3
Mapfre,No,2025-02-19,Perito B,Málaga,23,24,5275,4.7
Generali,No,2025-02-10,Perito D,Madrid,43,27,2420,3.6
Linea Directa,Si,2024-05-15,Perito D,Valencia,50,34,7694,3.1
AXA,No,2024-01-03,Perito D,Valencia,30,43,3989,4.8
Mutua,No,2025-01-06,Perito A,Valencia,56,18,7430,6.9
Linea Directa,Si,2025-02-01,Perito B,Madrid,20,42,7440,6.4
Mapfre,No,2024-02-18,Perito B,Málaga,28,27,3010,4.6
Allianz,Si,2024-05-01,Perito D,Málaga,36,17,5955,2.3
Allianz,Si,2025-05-15,Perito C,Sevilla,20,33,5694,3.9
Generali,No,2024-07-15,Perito B,Sevilla,22,42,4928,6.0
AXA,Si,2024-11-24,Perito C,Valencia,45,33,1731,1.4
Mapfre,Si,2025-06-23,Perito B,Zaragoza,50,31,5082,2.7
Generali,No,2025-05-16,Perito D,Barcelona,45,32,3190,4.8
Mutua,Si,2025-01-26,Perito D,Sevilla,42,32,7355,4.7
AXA,No,2024-09-05,Perito B,Málaga,49,37,4693,5.2
AXA,Si,2024-01-22,Perito A,Valencia,29,23,1343,3.3
Generali,No,2024-01-14,Perito A,Málaga,27,43,1133,2.9
Linea Directa,Si,2024-08-02,Perito B,Valencia,44,43,1660,3.0
Allianz,No,2025-05-19,Perito D,Madrid,41,16,6148,4.9
Linea Directa,No,2024-05-12,Perito B,Sevilla,34,31,2923,4.3
AXA,Si,2025-03-11,Perito C,Zaragoza,29,45,7279,4.3
Allianz,Si,2024-04-20,Perito D,Madrid,39,42,2712,3.1
AXA,No,2025-01-27,Perito A,Sevilla,42,44,485,6.0
AXA,Si,2025-02-12,Perito A,Zaragoza,20,49,464,1.5
AXA,Si,2024-11-12,Perito B,Zaragoza,21,34,2567,2.1
Mutua,Si,2024-09-21,Perito C,Zaragoza,38,30,7016,5.4
Allianz,No,2025-01-25,Perito D,Málaga,33,48,3647,5.5
Mutua,No,2024-05-28,Perito A,Málaga,27,28,7163,6.6
Allianz,No,2024-09-05,Perito B,Barcelona,57,40,6432,5.9
Mutua,Si,2025-06-06,Perito B,Málaga,31,34,5973,3.2
Mutua,Si,2024-12-06,Perito D,Valencia,45,38,5522,4.2
Mutua,Si,2025-01-18,Perito B,Barcelona,46,32,5116,4.7
Generali,No,2024-08-28,Perito B,Valencia,48,23,1962,3.1
Mutua,No,2024-06-21,Perito B,Barcelona,34,33,3248,6.2
Linea Directa,No,2024-12-21,Perito A,Valencia,20,34,2581,4.2
Linea Directa,No,2024-03-31,Perito A,Barcelona,47,44,2469,4.0
AXA,Si,2024-07-14,Perito C,Sevilla,22,40,240,2.2
Mapfre,Si,2024-12-02,Perito D,Zaragoza,37,45,6027,3.2
Mutua,Si,2025-05-29,Perito D,Sevilla,53,49,267,1.0
Mapfre,No,2024-12-03,Perito D,Barcelona,51,17,1187,4.2
Mapfre,Si,2024-11-08,Perito D,Madrid,48,43,6095,5.0
AXA,Si,2024-01-01,Perito B,Barcelona,44,20,6857,2.8
Mapfre,No,2024-02-28,Perito D,Madrid,45,15,7989,7.3
Mapfre,No,2025-02-13,Perito C,Zaragoza,58,38,5917,6.0
Linea Directa,Si,2024-12-21,Perito D,Valencia,27,48,4208,2.8
Mapfre,No,2024-08-12,Perito D,Barcelona,38,21,5951,4.7
Allianz,Si,2024-09-19,Perito B,Madrid,41,25,3398,4.7
Mutua,Si,2024-07-11,Perito B,Zaragoza,48,25,5574,3.9
Mutua,No,2024-09-27,Perito B,Barcelona,52,34,4990,5.1
Mapfre,No,2024-03-10,Perito C,Sevilla,57,30,7383,5.0
AXA,Si,2024-12-07,Perito B,Sevilla,54,19,2724,3.1
Allianz,No,2024-02-29,Perito D,Barcelona,22,38,1285,5.3
AXA,No,2025-05-28,Perito C,Barcelona,38,44,7224,5.1
AXA,Si,2024-06-18,Perito A,Málaga,29,44,2679,3.7
Mapfre,Si,2024-12-31,Perito B,Zaragoza,46,47,1893,1.7
Generali,Si,2024-12-20,Perito C,Sevilla,34,34,2515,3.2
Mapfre,No,2024-02-19,Perito A,Valencia,30,36,5354,5.9
Linea Directa,No,2025-04-06,Perito B,Barcelona,45,35,978,3.1
Generali,No,2025-02-23,Perito A,Málaga,43,41,7943,6.7
Allianz,Si,2024-08-31,Perito B,Zaragoza,32,49,4789,3.9
Generali,No,2025-04-01,Perito C,Barcelona,51,20,1785,5.9
Mapfre,Si,2024-02-09,Perito B,Sevilla,56,46,1692,2.6
Mapfre,No,2024-05-15,Perito B,Madrid,23,30,6086,6.3
AXA,Si,2024-01-08,Perito C,Zaragoza,32,42,860,2.7
Mapfre,No,2025-01-25,Perito C,Madrid,28,30,1548,5.9
Linea Directa,Si,2024-08-23,Perito D,Sevilla,53,41,5623,1.6
Mapfre,Si,2024-01-25,Perito D,Valencia,56,17,1499,1.0
Mutua,Si,2024-06-20,Perito C,Zaragoza,26,35,4140,3.3
Mutua,Si,2024-03-25,Perito B,Málaga,20,44,2186,3.1
AXA,No,2024-06-28,Perito A,Barcelona,31,36,7356,5.3
Generali,No,2024-10-10,Perito C,Barcelona,40,33,2244,4.7
Generali,No,2024-01-08,Perito A,Barcelona,30,45,7568,6.3
Mutua,No,2025-04-08,Perito D,Málaga,33,34,3716,2.4
Linea Directa,No,2025-02-06,Perito D,Málaga,53,33,6224,4.4
Allianz,Si,2024-05-05,Perito C,Sevilla,53,16,5643,4.6
Linea Directa,No,2024-07-16,Perito C,Málaga,44,41,1258,5.3
Mutua,No,2024-03-19,Perito B,Barcelona,23,22,1176,6.5
Linea Directa,Si,2024-03-05,Perito D,Zaragoza,45,41,4777,4.3
Allianz,No,2024-05-17,Perito D,Barcelona,35,29,927,4.1
Generali,No,2024-08-15,Perito C,Málaga,29,26,2727,3.8
Mutua,No,2024-09-12,Perito A,Málaga,21,28,3336,4.8
Mapfre,Si,2024-07-10,Perito B,Sevilla,54,21,5327,3.9
Allianz,Si,2024-02-10,Perito C,Madrid,38,31,7668,6.7
Allianz,No,2024-06-04,Perito A,Málaga,25,40,542,5.3
Allianz,Si,2024-11-19,Perito B,Madrid,38,34,7798,4.4
Generali,No,2025-05-23,Perito A,Valencia,27,24,1647,3.8
Linea Directa,Si,2024-06-20,Perito B,Madrid,33,33,2579,4.8
AXA,Si,2024-03-08,Perito B,Málaga,29,32,6781,4.1
Mapfre,No,2025-04-12,Perito B,Barcelona,22,44,3859,4.9
Mutua,Si,2024-03-04,Perito D,Barcelona,57,44,6517,5.8
Linea Directa,No,2024-10-29,Perito C,Málaga,48,39,6902,4.8
Allianz,Si,2024-03-20,Perito D,Sevilla,34,38,726,2.4
Generali,No,2025-04-18,Perito D,Zaragoza,42,24,2096,2.9
Allianz,Si,2024-05-18,Perito B,Málaga,42,16,4954,5.9
Linea Directa,No,2024-01-15,Perito C,Málaga,37,46,2273,5.0
Mutua,No,2024-08-30,Perito C,Zaragoza,38,49,5115,4.4
Mapfre,No,2025-04-04,Perito C,Sevilla,47,21,6948,5.6
Allianz,No,2025-01-29,Perito C,Sevilla,45,21,605,3.8
Generali,Si,2024-08-15,Perito B,Valencia,29,41,6575,3.8
Generali,No,2025-05-15,Perito C,Valencia,23,24,6876,5.0
AXA,Si,2024-02-01,Perito A,Valencia,21,47,1773,3.9
Generali,Si,2025-03-09,Perito A,Sevilla,22,21,6107,4.5
AXA,No,2025-05-28,Perito D,Madrid,26,20,4800,3.7
Mapfre,No,2025-03-17,Perito B,Málaga,35,20,3940,4.9
Mutua,No,2024-03-18,Perito D,Valencia,50,27,4474,5.0
AXA,No,2025-06-12,Perito D,Madrid,29,27,4427,4.6
Allianz,Si,2024-11-24,Perito C,Málaga,38,16,2046,1.9
Linea Directa,No,2024-12-23,Perito A,Zaragoza,47,33,1678,5.4
Allianz,No,2024-12-29,Perito A,Zaragoza,36,33,2595,4.5
Mutua,No,2025-05-09,Perito C,Zaragoza,47,16,6883,5.2
Generali,No,2024-02-23,Perito C,Madrid,38,40,971,4.2
Linea Directa,Si,2024-02-12,Perito B,Zaragoza,56,20,5725,5.4
Allianz,Si,2025-01-07,Perito A,Barcelona,42,34,6419,5.9
Linea Directa,Si,2025-05-21,Perito D,Barcelona,39,37,778,3.2
AXA,No,2024-11-01,Perito D,Zaragoza,32,29,3101,3.4
Mutua,Si,2024-05-12,Perito B,Málaga,32,20,5811,4.0
Allianz,No,2025-05-25,Perito A,Madrid,30,42,393,4.3
Generali,Si,2024-01-17,Perito C,Madrid,34,49,2207,4.2
Linea Directa,No,2024-08-04,Perito D,Zaragoza,36,25,1385,1.9
Generali,Si,2024-09-04,Perito A,Sevilla,47,22,2594,3.6
Linea Directa,No,2025-03-11,Perito A,Valencia,38,38,3198,4.2
Allianz,No,2024-10-19,Perito A,Málaga,23,35,5680,4.9
Mutua,Si,2025-01-03,Perito C,Madrid,41,21,1992,4.1
Mapfre,No,2024-12-17,Perito D,Valencia,41,19,7951,5.2
Allianz,Si,2025-05-25,Perito C,Zaragoza,56,43,1310,1.4
Generali,Si,2024-05-10,Perito A,Málaga,58,30,4205,3.0
Mapfre,Si,2025-02-28,Perito A,Madrid,53,20,7629,6.2
Mutua,No,2024-05-22,Perito D,Zaragoza,52,28,2461,2.5
Generali,Si,2024-03-28,Perito D,Barcelona,59,16,3936,2.2
Mutua,No,2024-03-02,Perito C,Madrid,52,39,3993,6.2
Linea Directa,No,2025-02-01,Perito C,Barcelona,31,45,2136,3.5
Allianz,Si,2025-01-30,Perito C,Zaragoza,21,27,6916,3.9
Mutua,Si,2024-03-19,Perito A,Barcelona,47,32,5075,4.3
Generali,No,2024-06-12,Perito D,Sevilla,29,31,4557,3.1
Allianz,No,2025-01-08,Perito B,Zaragoza,41,42,929,3.6
Generali,Si,2025-01-04,Perito D,Zaragoza,36,26,4578,2.4
Generali,No,2024-09-20,Perito D,Sevilla,45,49,5786,4.2
Mapfre,No,2025-03-23,Perito D,Valencia,22,36,3651,1.9
AXA,No,2024-07-24,Perito B,Málaga,26,15,4657,6.3
Mutua,Si,2025-06-02,Perito C,Valencia,27,35,7816,5.0
Mutua,Si,2025-01-31,Perito B,Sevilla,39,15,4736,5.0
